id,source,srcLvel,relationship,target,tarLvel,diff,platform
1,Me,1,through,BeReal,2,1,BeReal
1,Me,1,through,Instagram,2,1,Instagram
1,Me,1,through,Snapchat,2,1,Snapchat
1,Me,1,through,SMS Text,2,1,SMS Text
1,BeReal,2,with,Close friends,3,1,BeReal
1,Instagram,2,with,Close friends,3,1,Instagram
1,Instagram,2,with,Family,3,1,Instagram
1,Instagram,2,with,Acquaintances,3,1,Instagram
1,Instagram,2,with,Teachers,3,1,Instagram
1,Snapchat,2,with,Friends,3,1,Snapchat
1,SMS Text,2,with,Close friends,3,1,SMS Text
1,SMS Text,2,with,Family,3,1,SMS Text
1,BeReal,2,what,Everyday photos,4,2,BeReal
1,Instagram,2,what,Aesthetic photos,4,2,Instagram
1,Instagram,2,what,Important events ,4,2,Instagram
1,Instagram,2,what,Fun/funny photos,4,2,Instagram
1,Snapchat,2,what,Selfie,4,2,Snapchat
1,Snapchat,2,what,Fun/funny photos,4,2,Snapchat
1,Snapchat,2,what,Everyday photos,4,2,Snapchat
1,SMS Text,2,what,Nice memories,4,2,SMS Text
1,SMS Text,2,what,Screenshots,4,2,SMS Text
1,BeReal,2,with,Everyday photos,4,1,BeReal
1,Instagram,2,with,Aesthetic photos,4,1,Instagram
1,Instagram,2,with,Important events ,4,1,Instagram
1,Instagram,2,with,Fun/funny photos,4,1,Instagram
1,Snapchat,2,with,Selfie,4,1,Snapchat
1,Snapchat,2,with,Fun/funny photos,4,1,Snapchat
1,Snapchat,2,with,Everyday photos,4,1,Snapchat
1,SMS Text,2,with,Nice memories,4,1,SMS Text
1,SMS Text,2,with,Screenshots,4,1,SMS Text
2,Me,1,through,SMS Text,2,1,SMS Text
2,Me,1,through,WhatsApp,2,1,WhatsApp
2,Me,1,through,Email,2,1,Email
2,Me,1,through,Print,2,1,Print
2,Me,1,through,Dropbox,2,1,Dropbox
2,Me,1,through,Signal,2,1,Signal
2,SMS Text,2,with,Friends,3,1,SMS Text
2,SMS Text,2,with,Family,3,1,SMS Text
2,SMS Text,2,with,Cousins,3,1,SMS Text
2,WhatsApp,2,with,Friends,3,1,WhatsApp
2,WhatsApp,2,with,Family,3,1,WhatsApp
2,WhatsApp,2,with,Cousins,3,1,WhatsApp
2,Email,2,with,Colleagues,3,1,Email
